epoch,lr,train_loss,val_loss,accuracy,precision,recall,f1,auc_roc
1,0.000267,0.6663,0.6714,0.6113,0.1617,0.7826,0.2680,0.7502
2,0.000753,0.6303,0.5914,0.7819,0.2312,0.6014,0.3340,0.7959
3,0.001000,0.5784,0.4359,0.9163,0.6078,0.2246,0.3280,0.7624
4,0.000997,0.5184,0.2799,0.9183,0.5625,0.4565,0.5040,0.8229
5,0.000987,0.4209,0.2294,0.9361,0.6565,0.6232,0.6394,0.8735
6,0.000971,0.4403,0.2488,0.9097,0.5030,0.6087,0.5508,0.8748
7,0.000948,0.3782,0.2415,0.9539,0.7931,0.6667,0.7244,0.9104
8,0.000919,0.3524,0.2181,0.9229,0.5533,0.7899,0.6507,0.9289
9,0.000885,0.3220,0.6525,0.6845,0.2144,0.9275,0.3483,0.9239
10,0.000845,0.3104,0.4700,0.8063,0.3060,0.8913,0.4556,0.9340
11,0.000801,0.2996,0.1716,0.9315,0.5934,0.7826,0.6750,0.9307
12,0.000752,0.2579,0.1714,0.9447,0.6627,0.7971,0.7237,0.9484
13,0.000700,0.2789,0.1628,0.9526,0.7705,0.6812,0.7231,0.9336
14,0.000646,0.2528,0.2878,0.8913,0.4502,0.8841,0.5966,0.9547
15,0.000589,0.2439,0.2476,0.9223,0.5463,0.8551,0.6667,0.9599
16,0.000532,0.2178,0.1405,0.9552,0.7365,0.7899,0.7622,0.9616
17,0.000474,0.1997,0.2657,0.9038,0.4840,0.8768,0.6237,0.9561
18,0.000416,0.1760,0.1541,0.9499,0.6802,0.8478,0.7548,0.9667
19,0.000359,0.1879,0.1452,0.9499,0.6962,0.7971,0.7432,0.9634
20,0.000304,0.1666,0.1728,0.9328,0.5882,0.8696,0.7018,0.9726
21,0.000252,0.1876,0.2013,0.9275,0.5648,0.8841,0.6893,0.9684
22,0.000204,0.1626,0.1548,0.9460,0.6522,0.8696,0.7453,0.9725
23,0.000159,0.1513,0.1794,0.9335,0.5894,0.8841,0.7072,0.9748
24,0.000119,0.1463,0.1264,0.9592,0.7262,0.8841,0.7974,0.9755
25,0.000084,0.1357,0.1517,0.9440,0.6417,0.8696,0.7385,0.9731
26,0.000054,0.1238,0.1337,0.9499,0.6782,0.8551,0.7564,0.9762
27,0.000031,0.1325,0.1372,0.9513,0.6778,0.8841,0.7673,0.9780
28,0.000014,0.1243,0.1323,0.9532,0.6914,0.8768,0.7732,0.9781
29,0.000004,0.0988,0.1331,0.9519,0.6836,0.8768,0.7683,0.9779
30,0.000000,0.1331,0.1337,0.9513,0.6798,0.8768,0.7658,0.9779
